17932 , 15247
17936 , 15249
17941 , 15251
17945 , 15253
17949 , 15255
17953 , 15257
17953 , 15257
17948 , 15253
17913 , 15233
17827 , 15188
17705 , 15129
17631 , 15096
17603 , 15086
17598 , 15085
17611 , 15090
17636 , 15103
17670 , 15119
17703 , 15135
17731 , 15149
17759 , 15162
17631 , 15096
17654 , 15107
17683 , 15122
17723 , 15142
17760 , 15160
17780 , 15168
17789 , 15172
17794 , 15174
17796 , 15175
17801 , 15177
17808 , 15181
17817 , 15186
17824 , 15189
17834 , 15194
17847 , 15200
17860 , 15207
17871 , 15212
17879 , 15216
17884 , 15218
17892 , 15221
17900 , 15226
17907 , 15229
17912 , 15231
17919 , 15234
17924 , 15237
17928 , 15239
17931 , 15240
17936 , 15242
17939 , 15244
17929 , 15237
17873 , 15206
17750 , 15143
17625 , 15086
17575 , 15064
17922 , 15232
17874 , 15205
17762 , 15147
17628 , 15084
17558 , 15052
17533 , 15041
17536 , 15044
17554 , 15053
17576 , 15064
17589 , 15069
17598 , 15073
17618 , 15083
17651 , 15100
17684 , 15116
17707 , 15126
17718 , 15132
17719 , 15131
17717 , 15129
17724 , 15133
17741 , 15142
17763 , 15152
17782 , 15162
17798 , 15170
17813 , 15177
17828 , 15185
17842 , 15191
17854 , 15198
17864 , 15204
17872 , 15208
17876 , 15208
17881 , 15210
17888 , 15214
17896 , 15218
17902 , 15221
17846 , 15192
17856 , 15197
17865 , 15202
17874 , 15205
17881 , 15209
17889 , 15213
17897 , 15216
17901 , 15219
17900 , 15218
17872 , 15201
17784 , 15153
17650 , 15088
17570 , 15052
17539 , 15039
17540 , 15040
17556 , 15048
17585 , 15063
17614 , 15077
17644 , 15092
17682 , 15110
17720 , 15128
17747 , 15141
17761 , 15147
17765 , 15149
17765 , 15149
17767 , 15149
17773 , 15153
17780 , 15156
17789 , 15160
17800 , 15166
17811 , 15171
17823 , 15177
17838 , 15185
17850 , 15191
17798 , 15162
17811 , 15168
17824 , 15175
17836 , 15181
17847 , 15187
17857 , 15192
17865 , 15196
17872 , 15200
17879 , 15203
17884 , 15204
17888 , 15206
17894 , 15209
17899 , 15212
17904 , 15214
17910 , 15217
17915 , 15221
17920 , 15223
17924 , 15225
17921 , 15223
17886 , 15203
17777 , 15143
17625 , 15071
17554 , 15039
17532 , 15029
17531 , 15030
17541 , 15035
17566 , 15048
17590 , 15060
17600 , 15064
17611 , 15070
17644 , 15087
17686 , 15108
17717 , 15124
17733 , 15131
17622 , 15073
17641 , 15083
17664 , 15094
17700 , 15113
17738 , 15131
17760 , 15142
17767 , 15145
17774 , 15148
17780 , 15150
17785 , 15153
17789 , 15155
17799 , 15161
17811 , 15166
17823 , 15172
17834 , 15178
17847 , 15184
17859 , 15191
17867 , 15195
17873 , 15197
17878 , 15200
17885 , 15203
17891 , 15206
17895 , 15208
17900 , 15210
17903 , 15212
17909 , 15214
17913 , 15217
17919 , 15220
17923 , 15222
17924 , 15222
17913 , 15215
17865 , 15187
17769 , 15136
17655 , 15082
17937 , 15228
17940 , 15229
17943 , 15231
17942 , 15230
17917 , 15215
17835 , 15170
17703 , 15103
17607 , 15058
17566 , 15040
17560 , 15038
17582 , 15050
17616 , 15066
17646 , 15081
17663 , 15089
17672 , 15093
17696 , 15106
17737 , 15127
17768 , 15142
17784 , 15150
17790 , 15152
17790 , 15152
17792 , 15152
17800 , 15156
17810 , 15162
17823 , 15169
17838 , 15176
17851 , 15182
17862 , 15188
17872 , 15193
17881 , 15198
17891 , 15203
17898 , 15207
17904 , 15209
17908 , 15211
17866 , 15188
17876 , 15192
17884 , 15197
17893 , 15202
17901 , 15206
17910 , 15211
17915 , 15213
17917 , 15215
17919 , 15215
17921 , 15216
17925 , 15218
17930 , 15221
17936 , 15224
